               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071919,            0.026687,             0.06344,          6.3163e-06,            0.001657,          3.3396e-06,          3.3396e-07,            0.025474,             0.01094,            0.024165,            0.070092,           0.0033231,           0.0033231
                   1,            0.054281,            0.023162,            0.060583,           0.0034682,              0.9976,            0.030341,             0.01186,            0.013846,           0.0095285,            0.023136,            0.040026,           0.0065905,           0.0065905
                   2,            0.045525,             0.01956,            0.059136,             0.81208,              0.0543,             0.11358,            0.049067,            0.014503,            0.009324,            0.022423,           0.0098945,           0.0097919,           0.0097919
                   3,            0.037981,            0.015944,            0.054197,             0.41298,             0.25707,             0.17428,            0.099322,            0.010041,           0.0056726,            0.020554,            0.009703,            0.009703,            0.009703
                   4,            0.033009,            0.013807,            0.049796,             0.27129,             0.60959,             0.23273,             0.15554,           0.0090188,           0.0041092,            0.019461,            0.009703,            0.009703,            0.009703
                   5,            0.031403,             0.01222,            0.047567,             0.25038,             0.56565,             0.29283,             0.20929,           0.0072919,            0.003654,             0.01816,            0.009604,            0.009604,            0.009604
                   6,            0.030117,            0.011441,            0.046121,             0.27256,             0.77631,             0.36009,             0.26887,            0.006691,           0.0035088,            0.016796,            0.009505,            0.009505,            0.009505
                   7,            0.027662,            0.010504,            0.044407,             0.25184,             0.74156,             0.37656,             0.30758,           0.0055717,           0.0030578,            0.015787,            0.009406,            0.009406,            0.009406
                   8,            0.027152,           0.0099864,            0.042021,             0.27252,             0.80689,              0.4363,             0.32135,           0.0064388,           0.0027401,            0.014823,            0.009307,            0.009307,            0.009307
                   9,            0.025836,             0.00952,            0.041115,             0.33341,             0.79205,             0.46474,             0.38548,           0.0048677,           0.0026357,             0.01488,            0.009208,            0.009208,            0.009208
                  10,            0.024192,            0.009249,            0.039799,             0.34137,             0.74747,              0.4843,             0.39609,            0.004823,           0.0027239,            0.014531,            0.009109,            0.009109,            0.009109
                  11,            0.025327,           0.0091379,            0.039451,             0.43129,             0.77587,             0.57797,             0.48511,            0.004532,           0.0025337,            0.012976,             0.00901,             0.00901,             0.00901
                  12,            0.023106,           0.0088936,            0.038581,             0.40623,             0.81555,             0.55087,             0.46049,           0.0047222,           0.0026245,              0.0136,            0.008911,            0.008911,            0.008911
                  13,            0.024328,           0.0085658,             0.03705,             0.48245,             0.77906,             0.64161,             0.54145,           0.0047057,             0.00269,            0.011385,            0.008812,            0.008812,            0.008812
                  14,            0.023169,           0.0084854,            0.036807,              0.4702,             0.79455,             0.63349,             0.53361,           0.0046006,           0.0023529,            0.011776,            0.008713,            0.008713,            0.008713
                  15,            0.022894,           0.0083773,            0.035027,             0.49902,             0.80382,             0.67995,               0.596,           0.0044514,           0.0022197,             0.01033,            0.008614,            0.008614,            0.008614
                  16,            0.022668,           0.0083058,             0.03424,             0.54974,             0.83043,             0.70179,             0.60783,           0.0047503,           0.0023595,           0.0096252,            0.008515,            0.008515,            0.008515
                  17,            0.021237,           0.0079781,             0.03244,             0.53864,             0.82094,             0.73433,             0.64023,           0.0040685,            0.002335,           0.0091809,            0.008416,            0.008416,            0.008416
                  18,            0.021554,           0.0079169,            0.031562,             0.54554,             0.85368,              0.7298,             0.63517,           0.0041965,           0.0022948,           0.0096978,            0.008317,            0.008317,            0.008317
                  19,            0.020324,            0.007749,            0.031379,             0.62648,             0.87387,               0.781,             0.70634,           0.0035656,           0.0021056,           0.0078477,            0.008218,            0.008218,            0.008218
                  20,            0.021824,           0.0078028,            0.031857,             0.64447,             0.85989,             0.77915,             0.66436,            0.004794,           0.0022002,           0.0076506,            0.008119,            0.008119,            0.008119
                  21,            0.021108,           0.0076469,            0.029442,               0.648,             0.86054,             0.76746,             0.64463,           0.0050833,           0.0023703,           0.0076442,             0.00802,             0.00802,             0.00802
                  22,            0.020305,            0.007528,            0.028188,             0.69172,             0.82767,              0.8057,             0.71191,           0.0039939,           0.0021091,           0.0071256,            0.007921,            0.007921,            0.007921
                  23,            0.020578,           0.0073573,            0.029234,             0.69925,             0.87383,             0.84842,             0.76755,           0.0036699,           0.0020898,           0.0064995,            0.007822,            0.007822,            0.007822
